Название группы,Заголовок 1 - До 56 символов,,,Заголовок 2 - До 30 символов,,,Описание - До 81 символа,,
Частный дом,Видеонаблюдение для дачи с экономией до 20%,43,-13,Монтаж за 2 дня. Гарантия 2г,27,-3,Уличные камеры с ночным видением 40м. Контроль 24/7 с телефона,61,-20
,Система видеонаблюдения дома под ключ от HARD PRO,49,-7,10+ лет опыта. 350+ объектов,27,-3,Полный цикл: проект монтаж настройка. Бесплатный выезд инженера,61,-20
,Система безопасности видеонаблюдение коттеджа за 2 дня,54,-2,Скидка 20% на доп. камеры,24,-6,Интеграция в умный дом. Масштабируемая система. Обслуживание,58,-23
,Установка камер для загородного дома под ключ. Звоните!,55,-1,Подбор под ваш бюджет,21,-9,Скрытый монтаж в интерьер. Ночное видео. Удаленный доступ 24/7,60,-21
,,,,,,,,,
Персонал,Заголовок 1 - До 56 символов,,,Заголовок 2 - До 30 символов,,,Описание - До 81 символа,,
,Контроль няни и домработницы через камеры,41,-15,Установка за 2 дня. Звук,23,-7,Следите за работой персонала с телефона. Скрытые камеры в доме,61,-20
,Видеонаблюдение за садовником и рабочими,40,-16,24/7 доступ с мобильного,24,-6,Проверяйте качество работ удаленно. Архив записей. Ночное видео,61,-20
,Камеры для контроля домашнего персонала,39,-17,Монтаж в удобное время,22,-8,Незаметная установка. Запись звука. Уведомления о движении,56,-25
,Следите за няней через систему HARD PRO,39,-17,Гарантия 2 года на технику,26,-4,HD-качество днем и ночью. Просмотр с любого устройства онлайн,60,-21
,,,,,,,,,
,Заголовок 1 - До 56 символов,,,Заголовок 2 - До 30 символов,,,Описание - До 81 символа,,
,,0,-56,Получите спец. предложение!,25,-5,,0,-81
,,0,-56,Получите спец. предложение!,25,-5,,0,-81
,,0,-56,Получите спец. предложение!,25,-5,,0,-81
,,0,-56,Получите спец. предложение!,25,-5,,0,-81
,,,,,,,,,
,Заголовок 1 - До 56 символов,,,Заголовок 2 - До 30 символов,,,Описание - До 81 символа,,
,,0,-56,Получите спец. предложение!,25,-5,,0,-81
